Timestamp,Symbol,Action,Theo_Price,Real_Price,Slippage_Pts,Qty,SL_Points,Engine,Trade_Duration_Mins,Telemetry,Status,Account_PnL_Context,Trade_Exact_PnL,Rng,A5,RV,Net_Points,R_Multiple,Session_Range,Session_Volume,SMA200,Vol_SMA50,Regime_Dist,Module
2026-02-17 10:23:00,MCL,SELL,62.3,62.3,,,,Pit_Brk_S,,Pit_Brk_S|Rng:1.82|A5:0.22|RV:0.6,CLOSED_WIN,630,630,,,,,,2.66,321919.0,72.5,6277040.0,5.13,MCL
2026-02-19 03:25:00,MCL,BUY,65.83,65.83,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.21|A5:0.1|RV:1.02,CLOSED_WIN,630,630,,,,,,3.17,376140.0,72.72,6674926.0,11.65,MCL
2026-03-02 11:50:00,MCL,BUY,70.54,70.54,,,,Pit_Fade_L,,Pit_Fade_L|Rng:2.23|A5:0.42|RV:5.05,CLOSED_WIN,630,630,,,,,,3.8,169626.0,73.28,7955872.0,18.99,MCL
2026-03-02 20:01:00,MCL,BUY,71.96,71.96,,,,Asia_Brk_L,,Asia_Brk_L|Rng:2.23|A5:0.23|RV:10.2,CLOSED_WIN,630,630,,,,,,3.8,169626.0,73.28,7955872.0,18.99,MCL
2026-03-04 00:20:00,MCL,BUY,75.78,75.78,,,,Asia_Brk_L,,Asia_Brk_L|Rng:4.11|A5:0.21|RV:7.06,CLOSED_WIN,630,630,,,,,,6.33,980219.0,73.5,9290740.0,24.57,MCL
2026-03-05 01:55:00,MCL,BUY,76.6,76.6,,,,Asia_Brk_L,,Asia_Brk_L|Rng:3.99|A5:0.31|RV:2.82,CLOSED_WIN,630,630,,,,,,4.37,578995.0,73.64,10156900.0,30.78,MCL
2026-03-08 21:46:00,MCL,BUY,111.48,111.48,,,,Asia_Brk_L,,Asia_Brk_L|Rng:6.94|A5:0.95|RV:3.92,CLOSED_WIN,630,630,,,,,,7.19,663255.0,73.85,11441510.0,47.29,MCL
2026-03-11 10:01:00,MCL,SELL,82.25,82.25,,,,Pit_Brk_S,,Pit_Brk_S|Rng:5.6|A5:0.89|RV:2.3,CLOSED_LOSS,-1015,-1015,,,,,,14.37,728269.0,74.42,18456790.0,45.19,MCL
2026-03-11 22:34:00,MCL,BUY,94.55,94.55,,,,Asia_Brk_L,,Asia_Brk_L|Rng:5.6|A5:0.55|RV:3.59,CLOSED_WIN,624,624,,,,,,14.37,728269.0,74.42,18456790.0,45.19,MCL
2026-03-16 09:33:00,MCL,BUY,94.38,94.38,,,,Pit_Fade_L,,Pit_Fade_L|Rng:6.5|A5:0.57|RV:1.29,CLOSED_WIN,627,627,,,,,,5.02,62764.0,75.17,22715316.0,53.02,MCL
2026-03-16 20:02:00,MCL,BUY,95.39,95.39,,,,Asia_Brk_L,,Asia_Brk_L|Rng:6.5|A5:0.33|RV:3.79,CLOSED_WIN,630,630,,,,,,5.02,62764.0,75.17,22715316.0,53.02,MCL
2026-03-18 20:01:00,MCL,BUY,98.97,98.97,,,,Asia_Brk_L,,Asia_Brk_L|Rng:4.72|A5:0.42|RV:5.31,CLOSED_LOSS,-1035,-1035,,,,,,6.01,375955.0,75.7,24730836.0,60.72,MCL
2026-03-23 20:01:00,MCL,BUY,89.72,89.72,,,,Asia_Brk_L,,Asia_Brk_L|Rng:17.31|A5:0.29|RV:5.37,CLOSED_WIN,630,630,,,,,,2.58,47696.0,76.4,29125374.0,44.7,MCL
2026-03-25 22:34:00,MCL,BUY,91.64,91.64,,,,Asia_Brk_L,,Asia_Brk_L|Rng:2.93|A5:0.21|RV:5.14,CLOSED_WIN,630,630,,,,,,7.02,398267.0,76.84,30704806.0,47.57,MCL
2026-03-26 20:04:00,MCL,SELL,92.85,92.85,,,,Asia_Brk_S,,Asia_Brk_S|Rng:2.54|A5:0.26|RV:3.01,CLOSED_LOSS,-1035,-1035,,,,,,5.64,355108.0,77.06,31338894.0,52.16,MCL
2026-03-31 21:17:00,MCL,BUY,102.94,102.94,,,,Asia_Brk_L,,Asia_Brk_L|Rng:3.97|A5:0.29|RV:2.72,CLOSED_LOSS,-1035,-1035,,,,,,7.43,348029.0,77.86,33445432.0,63.43,MCL
2026-04-01 21:04:00,MCL,BUY,99.51,99.51,,,,Asia_Brk_L,,Asia_Brk_L|Rng:4.39|A5:0.36|RV:7.52,CLOSED_WIN,630,630,,,,,,5.6,433843.0,78.08,34199628.0,58.92,MCL
2026-04-06 21:35:00,MCL,BUY,114.0,114.0,,,,Asia_Brk_L,,Asia_Brk_L|Rng:2.86|A5:0.38|RV:2.69,CLOSED_WIN,630,630,,,,,,5.98,45307.0,78.66,35860316.0,76.63,MCL
2026-04-08 09:04:00,MCL,SELL,92.11,92.11,,,,Pit_Brk_S,,Pit_Brk_S|Rng:4.48|A5:0.64|RV:1.22,CLOSED_LOSS,-1020,-1020,,,,,,26.58,473760.0,79.15,37729752.0,57.4,MCL
